Species,Site
Mandrillus leucophaeus,KRP
Genetta cristata,KRP
Cercocebus torquatus,KRP
Pan troglodytes,KRP
Crossarchus platycephalus,KRP
Diceros bicornis,KRP
Funisciurus pyrropus,KRP
Potamochoerus porcus,KRP
Atherurus africanus,KRP
Xerus erythropus,KRP
Loxodonta africana,KRP
Cephalophus silvicultor,KRP
Cricetomys emini,KRP
Bdeogale nigripes,KRP
Genetta thierryi,KRP
Mellivora capensis,KRP
Rattus rattus,KRP
Syncerus caffer,KRP
Hyemoschus aquaticus,KRP
Cephalophus dorsalis,KRP
Herpestes naso,KRP
Civettictis civetta,KRP
Herpestes ichneumon,KRP
Caracal aurata,KRP
Atilax paludinosus,KRP
Thryonomys swinderianus,KRP
Tragelaphus scriptus,KRP
Tragelaphus spekii,KRP
Philantomba monticola,KRP
Genetta maculata,KRP
Crossarchus obscurus,KRP
Funisciurus anerythrus,KRP
Genetta servalina,KRP
Phataginus tricuspis,KRP
Panthera pardus,KRP
Smutsia gigantea,KRP
Helarctos malayanus,NAK
Ursus tibetanus,NAK
Panthera tigris,NAK
Bos gaurus,NAK
Pardofelis temminckii,NAK
Pardofelis marmorata,NAK
Muntiacus vuquangensis,NAK
Prionailurus viverrinus,NAK
Atherurus africanus,NAK
Muntiacus truongsonensis,NAK
Tragulus kanchil,NAK
Muntiacus rooseveltorum,NAK
Viverra megaspila,NAK
Dremomys rufigenis,NAK
Leopoldamys sabanus,NAK
Berylmys berdmorei,NAK
Lepus peguensis,NAK
Menetes berdmorei,NAK
Rhizomys pruinosus,NAK
Rhizomys sumatrensis,NAK
Rattus losea,NAK
Maxomys surifer,NAK
Melogale personata,NAK
Tupaia belangeri,NAK
Herpestes urva,NAK
Manis javanica,NAK
Viverra zibetha,NAK
Rattus rattus,NAK
Canis aureus,NAK
Sus scrofa,NAK
Herpestes javanicus,NAK
Bandicota indica,NAK
Macaca mulatta,NAK
Muntiacus vaginalis,NAK
Rusa unicolor,NAK
Viverricula indica,NAK
Prionailurus bengalensis,NAK
Arctonyx collaris,NAK
Melogale moschata,NAK
Mustela kathiah,NAK
Leopoldamys edwardsi,NAK
Panthera pardus,NAK
Cuon alpinus,NAK
Capricornis milneedwardsii,NAK
Manis pentadactyla,NAK
Martes flavigula,NAK
Mustela strigidorsa,NAK
Macaca arctoides,NAK
Neofelis nebulosa,NAK
Atherurus macrourus,NAK
Hystrix brachyura,NAK
Muntiacus muntjak,NAK
Tragulus javanicus,NAK
Loxodonta africana,NNN
Bdeogale nigripes,NNN
Mellivora capensis,NNN
Atherurus africanus,NNN
Cephalophus leucogaster,NNN
Hylochoerus meinertzhageni,NNN
Cricetomys emini,NNN
Potamochoerus porcus,NNN
Syncerus caffer,NNN
Funisciurus isabella,NNN
Cephalophus silvicultor,NNN
Cephalophus callipygus,NNN
Pan troglodytes,NNN
Gorilla gorilla,NNN
Hyemoschus aquaticus,NNN
Cercocebus agilis,NNN
Herpestes naso,NNN
Cephalophus dorsalis,NNN
Tragelaphus eurycerus,NNN
Civettictis civetta,NNN
Genetta servalina,NNN
Caracal aurata,NNN
Cephalophus nigrifrons,NNN
Crossarchus platycephalus,NNN
Atilax paludinosus,NNN
Tragelaphus spekii,NNN
Thryonomys swinderianus,NNN
Orycteropus afer,NNN
Philantomba monticola,NNN
Genetta maculata,NNN
Panthera pardus,NNN
Cricetomys gambianus,NNN
Funisciurus lemniscatus,NNN
Funisciurus pyrropus,NNN
Phataginus tricuspis,NNN
Smutsia gigantea,NNN
Helarctos malayanus,PSH
Rattus annandalei,PSH
Herpestes brachyurus,PSH
Viverra tangalunga,PSH
Elephas maximus,PSH
Tragulus napu,PSH
Pardofelis marmorata,PSH
Pardofelis temminckii,PSH
Sundasciurus hippurus,PSH
Maxomys rajah,PSH
Leopoldamys ciliatus,PSH
Lariscus insignis,PSH
Tragulus kanchil,PSH
Rhinosciurus laticaudatus,PSH
Leopoldamys sabanus,PSH
Muntiacus muntjak,PSH
Tupaia glis,PSH
Rattus rattus,PSH
Rattus argentiventer,PSH
Macaca nemestrina,PSH
Mustela nudipes,PSH
Hemigalus derbyanus,PSH
Sundamys muelleri,PSH
Echinosorex gymnura,PSH
Manis javanica,PSH
Sus scrofa,PSH
Herpestes javanicus,PSH
Prionailurus bengalensis,PSH
Viverricula indica,PSH
Martes flavigula,PSH
Rusa unicolor,PSH
Viverra zibetha,PSH
Herpestes urva,PSH
Atherurus macrourus,PSH
Viverra megaspila,PSH
Rhizomys sumatrensis,PSH
Maxomys surifer,PSH
Neofelis nebulosa,PSH
Capricornis sumatraensis,PSH
Cuon alpinus,PSH
Hystrix brachyura,PSH
Panthera pardus,PSH
Prionailurus planiceps,PSH
Prionodon linsang,PSH
Tapirus indicus,PSH
Nesomys audeberti,RNF
Setifer setosus,RNF
Tenrec ecaudatus,RNF
Cryptoprocta ferox,RNF
Nesomys rufus,RNF
Galidia elegans,RNF
Fossa fossana,RNF
Eupleres goudotii,RNF
Galidictis fasciata,RNF
Hemicentetes nigriceps,RNF
Hemicentetes semispinosus,RNF
Potamochoerus larvatus,RNF
Rattus rattus,RNF
Atelerix albiventris,UDZ
