Species,Body Mass,Graze,Browse,Fruit/Seeds,Invertebrates,Vertebrates,Social,Scansorial,Diurnal,Crepuscular,Nocturnal,Litter Size
Cabassous unicinctus,4.75,0,0,0,1,0,0,0,0,0,1,1
Dasypus kappleri,9.7,0,0,0,1,0,0,0,0,1,1,5.6
Dasypus novemcinctus,4.2,0,0,0,1,0,0,0,0,1,1,4
Priodontes maximus,34.75,0,0,0,1,0,0,0,0,0,1,1.29
Didelphis marsupialis,1.09,0,0,1,1,1,0,1,0,1,1,5.1
Tapirus bairdii,240,0,1,0,0,0,0,0,0,0,1,1
Tapirus indicus,302,0,1,0,0,0,0,0,0,0,1,1
Tapirus terrestris,183,0,1,1,0,0,0,0,0,1,1,1
Manis javanica,4.86,0,0,0,1,0,0,1,0,0,1,1
Phataginus tricuspis,2.3,0,0,0,1,0,0,1,0,0,1,1
Smutsia gigantea,32.5,0,0,0,1,0,0,0,0,0,1,1
Myrmecophaga tridactyla,28.2,0,0,0,1,0,0,0,1,1,1,1
Cercocebus agilis,8.04,0,0,1,0,0,1,1,1,0,0,1
Cercocebus sanjei,8,0,1,1,0,0,1,1,1,0,0,1
Cercocebus torquatus,8.3,0,0,1,0,0,1,1,1,0,0,1
Cercopithecus lhoesti,5.6,0,1,1,0,0,1,1,1,0,0,1
Gorilla beringei,132,0,1,0,0,0,1,1,1,0,0,1
Gorilla gorilla,126,0,1,1,0,0,1,1,1,0,0,1
Macaca arctoides,9.7,0,0,1,0,0,1,1,1,0,0,1
Macaca nemestrina,7.19,0,0,1,0,0,1,1,1,0,0,1
Mandrillus leucophaeus,14.6,0,0,1,0,0,1,1,1,0,0,1
Pan troglodytes,38.8,0,1,1,0,0,1,1,1,0,0,1
Papio anubis,19.5,0,1,1,0,0,1,1,1,0,0,1
Papio cynocephalus,18.5,0,1,1,0,0,1,1,1,0,0,1
Elephas maximus,3240,1,1,0,0,0,1,0,1,1,1,1
Loxodonta africana,4092.05,1,1,0,0,0,1,0,1,1,1,1
Atherurus africanus,2.89,0,1,1,0,0,1,1,0,0,1,1.36
Atherurus macrourus,2.33,0,1,1,0,0,1,1,0,0,1,1.38
Cricetomys emini,1.24,0,0,1,0,0,0,1,0,0,1,3
Cricetomys gambianus,1.235,0,0,1,0,0,1,1,0,0,1,3.11
Cuniculus paca,8.28,0,0,1,0,0,0,0,0,0,1,1.5
Dasyprocta fuliginosa,3.65,0,0,1,0,0,0,0,1,0,0,2
Dasyprocta leporina,2.86,0,0,1,0,0,0,0,1,0,0,1.78
Dasyprocta punctata,3.6,0,0,1,0,0,0,0,1,0,0,1.9
Hystrix africaeaustralis,16,0,1,1,0,0,1,0,0,0,1,1.87
Hystrix brachyura,8,0,1,1,0,0,1,0,0,0,1,1.41
Myoprocta acouchy,1.097,0,0,1,0,0,1,0,1,0,0,1.99
Myoprocta pratti,1,0,0,1,0,0,1,0,1,0,0,2
Rhizomys sumatrensis,2.25,0,1,1,0,0,0,0,0,1,1,4.47
Thryonomys gregorianus,3.88,1,0,0,0,0,1,0,0,0,1,2.91
Thryonomys swinderianus,5.325,1,0,0,0,0,1,0,0,0,1,3.95
Trichys fasciculata,1.825,0,0,1,0,0,1,1,0,0,1,1.5
Orycteropus afer,63.67,0,0,0,1,0,0,0,0,0,1,1
Dicerorhinus sumatrensis,1310,0,1,1,0,0,0,0,0,1,1,1
Neofelis diardi,16.1,0,0,0,0,1,0,1,1,1,1,2.13
Viverra tangalunga,7.68,0,0,1,1,0,0,1,0,0,1,1.96
Mydaus javanensis,2.5,0,0,1,1,1,0,0,0,0,1,2.5
Urocyon cinereoargenteus,4.42,0,0,1,1,1,1,1,0,1,1,3.8
Canis aureus,10.34,0,0,0,0,1,1,0,1,1,1,4.97
Chlorocebus tantalus,3.39,0,1,1,1,0,1,1,1,0,0,1
Genetta maculata,1.88,0,0,0,1,1,0,1,0,0,1,2.51
Procavia capensis,3.03,1,1,0,0,0,1,0,1,0,0,2.85
Herpestes ichneumon,3.17,0,0,0,0,1,1,0,1,1,1,3.05
Dasypus septemcinctus,1.51,0,0,0,1,0,0,0,1,0,0,6
Euphractus sexcinctus,4.82,0,0,1,1,0,0,0,1,1,1,1.92
Mazama chunyi,15,0,1,1,0,0,0,0,1,1,1,1.5
Dinomys branickii,12.5,0,1,1,0,0,0,1,0,0,1,1.97
Dasyprocta cristata,2.65,0,0,1,0,0,0,0,1,0,0,1.78
Didelphis imperfecta,1.01,0,0,1,1,1,0,1,0,0,1,6.49
Cerdocyon thous,5.74,0,0,1,1,1,0,0,0,0,1,3.55
Genetta cristata,1.4,0,0,0,1,1,0,1,0,1,0,2
Crossarchus platycephalus,1.108,0,0,0,1,0,1,1,1,1,1,4
Genetta thierryi,1.4,0,0,0,1,1,0,1,0,1,0,2
Ursus tibetanus,101.8,0,0,1,0,0,0,1,0,1,1,2
Bos gaurus,800,1,1,0,0,0,1,0,1,1,1,1
Muntiacus vuquangensis,37,0,1,0,0,0,0,0,1,1,1,1
Prionailurus viverrinus,8.83,0,0,0,0,1,0,0,0,1,1,2
Muntiacus truongsonensis,15,0,1,0,0,0,0,0,1,1,1,1
Muntiacus rooseveltorum,17.8,0,1,0,0,0,0,0,1,1,1,1
Viverra megaspila,9.06,0,0,1,1,0,0,1,0,0,1,2.45
